"PT","AU","BA","BE","GP","AF","BF","CA","TI","SO","SE","BS","LA","DT","CT","CY","CL","SP","HO","DE","ID","AB","C1","RP","EM","RI","OI","FU","FX","CR","NR","TC","Z9","U1","U2","PU","PI","PA","SN","EI","BN","J9","JI","PD","PY","VL","IS","PN","SU","SI","MA","BP","EP","AR","DI","D2","PG","WC","SC","GA","UT","PM","index","dirty_index"
"J","Formentini, L; Moroni, F; Chiarugi, A",NA,NA,NA,"Formentini, Laura; Moroni, Flavio; Chiarugi, Alberto",NA,NA,"Detection and pharmacological modulation of nicotinamide mononucleotide (NMN) in vitro and in vivo","BIOCHEMICAL PHARMACOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The emerging key role of NAD-consuming enzymes in cell biology has renewed the interest in NAD resynthesis through the rescue pathways. The first step of the nicotinamide-dependent NAD-rescue pathway is operated by nicotinamide phosphoribosyl transferase (NaPRT) forming nicotinamide mononucleotide (NMN). Because of the difficulties in measuring NMN, numerous open questions exist about the pathophysiological relevance of NaPRT and NMN itself Here, we describe a new method of fluorimetric NMN detection upon derivatization of its alkylpyridinium group with acetophenone. By adopting this method, we analyzed the kinetics of nicotinamide-dependent NAD recycling in HeLa and U937 cells. Measurement of NMN contents in subcellular fractions revealed that the nucleotide is highly enriched in mitochondria, suggesting intramitochondrial NAD synthesis. NMN increases in cells undergoing hyperactivation of the NAD-consuming enzyme poly(ADP-ribose) polymerase (PARP)-1, or exposed to gallotannin, a putative inhibitor of NMN-adenylyl transferases. Evidence that the inhibitor of NAD resynthesis FK866 selectively inhibits NaPRT having no effect on NMNAT activity is also provided. Importantly, NMN reduces NAD and ATP depletion in cells undergoing PARP-1 hyperactivation, significantly delaying cell death. Finally, we show that a single injection of FK866 in the mouse induces long-lasting (up to 16 h) but mild (similar to 20%) reduction of NMN contents in different organs, suggesting slow rate of basal NAD consumption in vivo. Data provide new information on the biochemistry and pharmacology of NAD biosynthesis, allowing a better understanding of pyridine nucleotide metabolism. (c) 2009 Elsevier Inc. All rights reserved.",NA,NA,NA,NA,"Formentini, Laura/0000-0001-5641-821X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0006-2952",NA,NA,NA,NA,"15-May",2009,"77","10",NA,NA,NA,NA,"1612","1620",NA,"10.1016/j.bcp.2009.02.017",NA,NA,NA,NA,NA,"WOS:000265445200007",19426698,1,"1 no 102"
"J","Magni, G; Di Stefano, M; Orsomando, G; Raffaelli, N; Ruggieri, S",NA,NA,NA,"Magni, G.; Di Stefano, M.; Orsomando, G.; Raffaelli, N.; Ruggieri, S.",NA,NA,"NAD(P) Biosynthesis Enzymes as Potential Targets for Selective Drug Design","CURRENT MEDICINAL CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAD(P) biosynthetic pathways can be considered a generous source of enzymatic targets for drug development. Key reactions for NAD(P) biosynthesis in all organisms, common to both de novo and salvage routes, are catalyzed by NMN/NaMN adenylyltransferase (NMNAT), NAD synthetase (NADS), and NAD kinase (NADK). These reactions represent a three-step pathway, present in the vast majority of living organisms, which is responsible for the generation of both NAD and NADP cellular pools. The validation of these enzymes as drug targets is based on their essentiality and conservation among a large variety of pathogenic microorganisms, as well as on their differential structural features or their differential metabolic contribution to NAD(P) homeostasis between microbial and human cell types. This review describes the structural and functional properties of eubacterial and human enzymes endowed with NMNAT, NADS, and NADK activities, as well as with nicotinamide phosphoribosyltransferase (NamPRT) and nicotinamide riboside kinase (NRK) activities, highlighting the species-related differences, with emphasis on their relevance for drug design. In addition, since the overall NMNAT activity in humans is accounted by multiple isozymes differentially involved in the metabolic activation of antineoplastic compounds, their individual diagnostic value for early therapy optimization is outlined. The involvement of human NMNAT in neurodegenerative disorders and its role in neuroprotection is also discussed.",NA,NA,NA,"Orsomando, Giuseppe/L-2120-2015;","Orsomando, Giuseppe/0000-0001-6640-097X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0929-8673",NA,NA,NA,NA,"APR",2009,"16","11",NA,NA,NA,NA,"1372","1390",NA,NA,NA,NA,NA,NA,NA,"WOS:000265692300006",19355893,1,"1 no 103"
"J","Hausenloy, DJ",NA,NA,NA,"Hausenloy, Derek J.",NA,NA,"Drug discovery possibilities from visfatin cardioprotection?","CURRENT OPINION IN PHARMACOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The adipocytokine, visfatin, exerts a diverse variety of effects that include the ability to mimic the glucose-lowering effects of insulin. In addition to its anti-hyperglycaemic action, recent evidence suggests that visfatin may be responsible for a number of different cardiovascular effects, depending on the cell type and the duration of therapy, one of which includes the ability to protect the myocardium from the detrimental effects of acute ischaemia-reperfusion injury. As such visfatin may not only provide a potential new target for acute cardioprotection but it may also act as an anti-diabetic agent with a unique mechanism of action, thereby offering a potentially novel drug target for the diabetic patient that experiences an episode of acute myocardial ischaemia-reperfusion injury.",NA,NA,NA,NA,"Hausenloy, Derek/0000-0003-0729-4956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1471-4892",NA,NA,NA,NA,"APR",2009,"9","2",NA,NA,NA,NA,"202","207",NA,"10.1016/j.coph.2008.10.005",NA,NA,NA,NA,NA,"WOS:000265114800019",19081303,1,"1 no 104"
"J","Hallschmid, M; Randeva, H; Tan, BK; Kern, W; Lehnert, H",NA,NA,NA,"Hallschmid, Manfred; Randeva, Harpal; Tan, Bee K.; Kern, Werner; Lehnert, Hendrik",NA,NA,"Relationship Between Cerebrospinal Fluid Visfatin (PBEF/Nampt) Levels and Adiposity in Humans","DIABETES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OBJECTIVE-Observations of elevated circulating concentrations of visfatin (PBEF/Nampt) in obesity and diabetes suggest that this recently described adipokine is involved in the regulation of body weight and metabolism. We examined in humans whether visfatin is found in cerebrospinal fluid (CSF) and, if so, how CSF,visfatin concentrations relate to adiposity and metabolic parameters. RESEARCH DESIGN AND METHODS-We measured visfatin concentrations in the plasma and CSF of 38 subjects (18 men and 20 women; age 19-80 years) with a wide range of body weight (BMI 16.24-38.10 kg/m(2)). In addition, anthropometric parameters and endocrine markets were assessed. Bivariate correlation coefficients were determined and stepwise multiple regression analyses were performed to detect associations of CSF and plasma visfatin levels with relevant parameters. RESULTS-Plasma visfatin levels increased with rising BMI (P < 0.0001) and body fat mass (P < 0.0001). In contrast, CSF visfatin levels decreased with increasing plasma visfatin concentrations (P < 0.03), BMI (P < 0.001), body fat mass (P < 0.0001), and insulin resistance (P < 0.05). Body fat was the only factor independently associated with CSF visfatin, explaining 58% of the variation of CSF visfatin levels (P < 0.0001). Neither plasma (P > 0.13) nor CSF (P > 0.61) visfatin concentrations differed between men and women. CONCLUSIONS-Our data indicate that visfatin concentrations in human CSF decrease with rising body fat, supporting the assumption that visfatin transport across the blood-brain barrier is impaired in obesity and that central nervous visfatin insufficiency or resistance are linked to pathogenetic mechanisms of obesity. Diabetes 58:637-640, 2009",NA,NA,NA,NA,"Tan, Bee Kang/0000-0001-5836-0613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0012-1797",NA,NA,NA,NA,"MAR",2009,"58","3",NA,NA,NA,NA,"637","640",NA,"10.2337/db08-1176",NA,NA,NA,NA,NA,"WOS:000263848500018",19095760,1,"1 no 105"
"J","Garten, A; Petzold, S; Korner, A; Imai, S; Kiess, W",NA,NA,NA,"Garten, Antje; Petzold, Stefanie; Koerner, Antje; Imai, Shin-ichiro; Kiess, Wieland",NA,NA,"Nampt: linking NAD biology, metabolism and cancer","TRENDS IN ENDOCRINOLOGY AND METABOLISM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicotinamide phosphoribosyltransferase (Nampt) converts nicotinamide to nicotinamide mononucleotide (NMN), a key nicotinamide adenine dinucleotide (NAD) intermediate. Previously identified as a cytokine pre-B-cell colony-enhancing factor and controversially claimed as an insulin-mimetic hormone visfatin, Nampt has recently drawn much attention in several fields, including NAD biology, metabolism and inflammation. As a NAD biosynthetic enzyme, Nampt regulates the activity of NAD-consuming enzymes such as sirtuins and influences a variety of metabolic and stress responses. Nampt also plays an important part in regulating insulin secretion in pancreatic beta-cells. Nampt seems to have another function as an immunomodulatory cytokine and, therefore, has a role in inflammation. This review summarizes these various functional aspects of Nampt and discusses its potential roles in diseases, including type 2 diabetes and cancer.",NA,NA,NA,"Korner, Antje/B-3988-2015","Korner, Antje/0000-0001-6001-0356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1043-2760",NA,NA,NA,NA,"APR",2009,"20","3",NA,NA,NA,NA,"130","138",NA,"10.1016/j.tem.2008.10.004",NA,NA,NA,NA,NA,"WOS:000265330800006",19109034,1,"1 no 106"
"J","Catalan, V; Gomez-Ambrosi, J; Rodriguez, A; Salvador, J; Fruhbeck, G",NA,NA,NA,"Catalan, Victoria; Gomez-Ambrosi, Javier; Rodriguez, Amaia; Salvador, Javier; Fruehbeck, Gema",NA,NA,"Adipokines in the treatment of diabetes mellitus and obesity","EXPERT OPINION ON PHARMACOTHERAPY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Background: The physiology of adipose tissue plays a main role in the pathogenesis of type 2 diabetes mellitus. The secretion of adipocyte-derived hormones, in either an autocrine or a paracrine manner, has been proposed as a relevant mechanism in this process. In this sense, the administration and regulation of hormones derived from adipose tissue arises as an attractive option for treating metabolic disorders. Objective: To review the current understanding of the implication of adipokines in the development of obesity and insulin resistance, as well as their potential use as therapeutic agents. Methodology: Review of scientific literature. Conclusions: This review describes the role of adipokines in generating insulin resistance and the chronic low-grade inflammatory profile accompanying visceral obesity.",NA,NA,NA,NA,"Rodriguez, Amaia/0000-0002-2180-461X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1465-6566",NA,NA,NA,NA,"FEB",2009,"10","2",NA,NA,NA,NA,"239","254",NA,"10.1517/14656560802618811",NA,NA,NA,NA,NA,"WOS:000263339700007",19236196,1,"1 no 107"
"J","Imai, S",NA,NA,NA,"Imai, Shin-ichiro",NA,NA,"Nicotinamide Phosphoribosyltransferase (Nampt): A Link Between NAD Biology, Metabolism, and Diseases","CURRENT PHARMACEUTICAL DESIGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New interest in NAD biology has recently been revived, and enzymes involved in NAD biosynthetic pathways have been identified and characterized in mammals. Among them, nicotinamide phosphoribosyltransferase (Nampt) has drawn much attention in several different fields, including NAD biology, metabolism, and immunomodulatory response. The research history of this protein is peculiar and controversial, and its physiological function has been a matter of debate. Nampt has both intra- and extracellular forms in mammals. Intracellular Nampt (iNampt) is an essential enzyme in the NAD biosynthetic pathway starting from nicotinamide. On the other hand, an extracellular form of this protein has been reported to act as a cytokine named PBEF, an insulin-mimetic hormone named visfatin, or an extracellular NAD biosynthetic enzyme named eNampt. This review article summarizes the research history and reported functions of this unique protein and discusses the pathophysiological significance of Nampt as an NAD biosynthetic enzyme vs. a potential inflammatory cytokine in diverse biological contexts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1381-6128",NA,NA,NA,NA,"JAN",2009,"15","1",NA,NA,NA,NA,"20","28",NA,NA,NA,NA,NA,NA,NA,"WOS:000263962400004",19149599,1,"1 no 108"
"J","Imai, S; Kiess, W",NA,NA,NA,"Imai, Shin-ichiro; Kiess, Wieland",NA,NA,"Therapeutic potential of SIRT1 and NAMPT-mediated NAD biosynthesis in type 2 diabetes","FRONTIERS IN BIOSCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both genetic and environmental factors contribute to the pathogenesis of type 2 diabetes, and it is critical to understand the interplay between these factors in the regulation of insulin secretion and insulin sensitivity to develop effective therapeutic interventions for type 2 diabetes. For the past several years, studies on the mammalian NAD-dependent protein deacetylase SIRT1 and systemic NAD biosynthesis mediated by nicotinamide phosphoribosyltransferase (NAMPT) have demonstrated that these two regulatory components together play a critical role in the regulation of glucose homeostasis, particularly in the regulation of glucose-stimulated insulin secretion in pancreatic beta cells. These components also contribute to the age-associated decline in beta cell function, which has been suggested to be one of the major contributing factors to the pathogenesis of type 2 diabetes. In this review article, the roles of SIRT1 and NAMPT-mediated systemic NAD biosynthesis in glucose homeostasis and the pathophysiology of type 2 diabetes will be summarized, and their potential as effective targets for the treatment and prevention of type 2 diabetes will be discussed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1093-9946",NA,NA,NA,NA,"01-Jan",2009,"14",NA,NA,NA,NA,NA,"2983","2995",NA,"10.2741/4028",NA,NA,NA,NA,NA,"WOS:000262352400201",19273250,1,"1 no 109"
"J","Hauner, H",NA,"Fruhbeck, G",NA,"Hauner, Hans",NA,NA,"Elements of the Adipostat","PEPTIDES IN ENERGY BALANCE AND OBESITY","Frontiers in Nutritional Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-1-84593-407-1",NA,NA,NA,2009,NA,"4",NA,NA,NA,NA,"115","132",NA,"10.1079/9781845934071.0115",NA,NA,NA,NA,NA,"WOS:000293952700006",NA,1,"1 no 110"
"J","Gomez-Ambrosi, J; Catalan, V; Fruhbeck, G",NA,"Fruhbeck, G",NA,"Gomez-Ambrosi, Javier; Catalan, Victoria; Fruehbeck, Gema",NA,NA,"The Adipo-Hepato-Insular Axis in Glucose Homeostasis","PEPTIDES IN ENERGY BALANCE AND OBESITY","Frontiers in Nutritional Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-1-84593-407-1",NA,NA,NA,2009,NA,"4",NA,NA,NA,NA,"163","193",NA,"10.1079/9781845934071.0163",NA,NA,NA,NA,NA,"WOS:000293952700008",NA,1,"1 no 111"
"B","Madani, R; Ogston, NC; Mohamed-Ali, V",NA,"Fruhbeck, G",NA,"Madani, Rana; Ogston, Nicola C.; Mohamed-Ali, Vidya",NA,NA,"Adipokines in the Immune-Stress Response","PEPTIDES IN ENERGY BALANCE AND OBESITY","Frontiers in Nutritional Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-1-84593-407-1",NA,NA,NA,2009,NA,"4",NA,NA,NA,NA,"195","228",NA,"10.1079/9781845934071.0195","10.1079/9781845934071.0000",NA,NA,NA,NA,"WOS:000293952700009",NA,1,"1 no 112"
"J","Rodriguez, A; Fruhbeck, G",NA,"Fruhbeck, G",NA,"Rodriguez, Amaia; Fruehbeck, Gema",NA,NA,"Peptides Involved in Vascular Homeostasis","PEPTIDES IN ENERGY BALANCE AND OBESITY","Frontiers in Nutritional Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rodriguez, Amaia/0000-0002-2180-461X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-1-84593-407-1",NA,NA,NA,2009,NA,"4",NA,NA,NA,NA,"229","261",NA,"10.1079/9781845934071.0229","10.1079/9781845934071.0000",NA,NA,NA,NA,"WOS:000293952700010",NA,1,"1 no 113"
"J","Li, YK; Zhang, Y; Dorweiler, B; Cui, DY; Wang, T; Woo, CW; Brunkan, CS; Wolberger, C; Imai, SI; Tabas, I",NA,NA,NA,"Li, Yankun; Zhang, Yuan; Dorweiler, Bernhard; Cui, Dongying; Wang, Tao; Woo, Connie W.; Brunkan, Cynthia S.; Wolberger, Cynthia; Imai, Shin-ichiro; Tabas, Ira",NA,NA,"Extracellular Nampt Promotes Macrophage Survival via a Nonenzymatic Interleukin-6/STAT3 Signaling Mechanism","JOURNAL OF BIOLOGICAL CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macrophages play key roles in obesity-associated pathophysiology, including inflammation, atherosclerosis, and cancer, and processes that affect the survival-death balance of macrophages may have an important impact on obesity-related diseases. Adipocytes and other cells secrete a protein called extracellular nicotinamide phosphoribosyltransferase (eNampt; also known as pre-B cell colony enhancing factor or visfatin), and plasma levels of eNampt increase in obesity. Herein we tested the hypothesis that eNampt could promote cell survival in macrophages subjected to endoplasmic reticulum ( ER) stress, a process associated with obesity and obesity-associated diseases. We show that eNampt potently blocks macrophage apoptosis induced by a number of ER stressors. The mechanism involves a two-step sequential process: rapid induction of interleukin 6 (IL-6) secretion, followed by IL-6-mediated autocrine/paracrine activation of the prosurvival signal transducer STAT3. The ability of eNampt to trigger this IL-6/STAT3 cell survival pathway did not depend on the presence of the Nampt enzymatic substrate nicotinamide in the medium, could not be mimicked by the Nampt enzymatic product nicotinamide mononucleotide (NMN), was not blocked by the Nampt enzyme inhibitor FK866, and showed no correlation with enzyme activity in a series of site-directed mutant Nampt proteins. Thus, eNampt protects macrophages from ER stress-induced apoptosis by activating an IL-6/STAT3 signaling pathway via a nonenzymatic mechanism. These data suggest a novel action and mechanism of eNampt that could affect the balance of macrophage survival and death in the setting of obesity, which in turn could play important roles in obesity-associated diseases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0021-9258",NA,NA,NA,NA,"12-Dec",2008,"283","50",NA,NA,NA,NA,"34833","34843",NA,"10.1074/jbc.M805866200",NA,NA,NA,NA,NA,"WOS:000261469100039",18945671,1,"1 no 114"
"J","Rasouli, N; Kern, PA",NA,NA,NA,"Rasouli, Neda; Kern, Philip A.",NA,NA,"Adipocytokines and the Metabolic Complications of Obesity","JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Context: Adipose tissue is increasingly recognized as an active endocrine organ with many secretory products and part of the innate immune system. With obesity, macrophages infiltrate adipose tissue, and numerous adipocytokines are released by both macrophages and adipocytes. Adipocytokines play important roles in the pathogenesis of insulin resistance and associated metabolic complications such as dyslipidemia, hypertension, and premature heart disease. Evidence Acquisition: Published literature was analyzed with the intent of addressing the role of the major adipose secretory proteins in human obesity, insulin resistance, and type 2 diabetes. Evidence Synthesis: This review analyzes the characteristics of different adipocytokines, including leptin, adiponectin, pro-inflammatory cytokines, resistin, retinol binding protein 4, visfatin, and others, and their roles in the pathogenesis of insulin resistance. Conclusions: Inflamed fat in obesity secretes an array of proteins implicated in the impairment of insulin signaling. Further studies are needed to understand the triggers that initiate inflammation in adipose tissue and the role of each adipokine in the pathogenesis of insulin resistance. (J Clin Endocrinol Metab 93: S64-S73, 2008)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0021-972X",NA,NA,NA,NA,"NOV",2008,"93","11",NA,"1",NA,NA,"S64","S73",NA,"10.1210/jc.2008-1613",NA,NA,NA,NA,NA,"WOS:000260869000007",18987272,1,"1 no 115"
"J","Ziegelmeier, M; Bachmann, A; Seeger, J; Lossner, U; Kratzsch, J; Bluher, M; Stumvoll, M; Fasshauer, M",NA,NA,NA,"Ziegelmeier, Michaela; Bachmann, Anette; Seeger, Jeannette; Lossner, Ulrike; Kratzsch, Juergen; Blueher, Matthias; Stumvoll, Michael; Fasshauer, Mathias",NA,NA,"Adipokines influencing metabolic and cardiovascular disease are differentially regulated in maintenance hemodialysis","METABOLISM-CLINICAL AND EXPERIMENTAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adipokines including leptin, adiponectin, visfatin, resistin, and interleukin (IL)-6 significantly influence energy metabolism, insulin sensitivity, and cardiovascular health. In the current study, we investigated serum levels of these adipokines in diabetic and nondiabetic patients oil maintenance hemodialysis (MD) as compared with controls with it glomerular filtration rate greater than 50 mL/min. Serum leptin, adiponectin, high-molecular-weight (HMW) adiponectin, visfatin, resistin. and IL-6 were determined by enzyine-linked immunosorbent assay in control (n = 60) and MD (n = 60) patients and correlated to clinical and biochemical measures of renal function, glucose. and lipid metabolism, as well as inflammation. Adiponectin, visfatin, resistin, and IL-6 were significantly elevated in MD patients as compared With Controls. In multivariate analyses, sex and body mass index were independently correlated with serum leptin levels in both controls and MD patients. Furthermore, insulin resistance was independently and negatively associated with adiponectin and HMW adiponectin in both groups. Moreover, circulating resistin levels were independently correlated with serum visfatin concentrations in control and M D patients. However, various independent associations were only found in either controls or patients oil MD. Thus, serum IL-6 levels were strongly and indeperidently associated with C reactive protein and resistin in MD patients but not control subjects. We show that levels of various adipokines are significantly increased in MD patients. Furthermore, regulation of adipokines in vivo strongly depends on renal function. Regulation of HMW adiponectin is similar as compared with total adiponectin in the patients studied. (C) 2008 Elsevier Inc. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0026-0495",NA,NA,NA,NA,"OCT",2008,"57","10",NA,NA,NA,NA,"1414","1421",NA,"10.1016/j.metabol.2008.05.011",NA,NA,NA,NA,NA,"WOS:000260240500016",18803947,1,"1 no 116"
"J","Dahmen, N; Manderscheid, N; Helfrich, J; Musholt, PB; Forst, T; Pfutzner, A; Engel, A",NA,NA,NA,"Dahmen, Norbert; Manderscheid, Nina; Helfrich, Jana; Musholt, Petra B.; Forst, Thomas; Pfuetzner, Andreas; Engel, Alice",NA,NA,"Elevated Peripheral Visfatin Levels in Narcoleptic Patients","PLOS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Objective: Narcolepsy is a severe sleep disorder that is characterized by excessive daytime sleepiness, cataplexies and a tendency towards obesity. Recent discoveries indicate that the major pathophysiology is a loss of hypocretin (orexin) producing neurons due to immunologically mediated degeneration. Visfatin is a recently described proinflammatory adipokine. It is identical to the immune modulating pre-B-cell colony enhancing factor (PBEF). Our study examines the hypothesis that visfatin levels are altered in narcoleptic patients. Methods: For the analysis, a total of n = 54 patients (n = 18 males and n = 36 females) with the diagnosis of narcolepsy according to DSM-IV and the International Classification of Sleep Disorders were examined (BMI mean 30.3+/-5.5, age mean 52.5+/-16.1 years). As a control group 39 unrelated (n = 12 males and n = 27 females) healthy volunteers with no sleep disorder according to DSM-IV were included (BMI mean 28.5+/-4.6, age mean 51.1+/-13.6 years). Peripheral visfatin levels were measured using a commercial enzyme immunoassay kit with a measurement range from 0.1-1000 ng/ml. Narcolepsy symptoms, severity and frequency of symptoms as well as the total duration of various aspects of the symptomatology were assessed by unstructured and structured clinical interviews in including the Stanford Center for Narcolepsy Sleep Inventory. Results: Circulating visfatin was found to be significantly increased in HLA DR2 positive narcoleptic patients compared to controls. Conclusion: Taken together, our results add to the evidence of disturbed immunological regulation in patients with narcolepsy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1932-6203",NA,NA,NA,NA,"20-Aug",2008,"3","8",NA,NA,NA,NA,NA,NA,"e2980","10.1371/journal.pone.0002980",NA,NA,NA,NA,NA,"WOS:000264420900007",18714344,1,"1 no 117"
"J","Lim, SY; Davidson, SM; Paramanathan, AJ; Smith, CCT; Yellon, DM; Hausenloy, DJ",NA,NA,NA,"Lim, Shiang Y.; Davidson, Sean M.; Paramanathan, Ajeev J.; Smith, Christopher C. T.; Yellon, Derek M.; Hausenloy, Derek J.",NA,NA,"The novel adipocytokine visfatin exerts direct cardioprotective effects","JOURNAL OF CELLULAR AND MOLECULAR MEDICINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visfatin is an adipocytokine capable of mimicking the glucose-lowering effects of insulin and activating the pro-survival kinases phosphatidylinositol-3-OH kinase (PI3K)-protein kinase B (Akt) and mitogen-activated protein kinase kinase 1 and 2 (MEK1/2)-extracellular signal-regulated kinase 1 and 2 (Erk 1/2). Experimental studies have demonstrated that the activation of these kinases confers cardioprotection through the inhibition of the mitochondrial permeability transition pore (mPTP). Whether visfatin is capable of exerting direct cardioprotective effects through these mechanisms is unknown and is the subject of the current study. Anaesthetized C57BL/6 male mice were subjected to in situ 30 min. of regional myocardial ischaemia and 120 min. of reperfusion. The administration of an intravenous bolus of visfatin (5 x 10(-6) mu mol) at the time of myocardial reperfusion reduced the myocardial infarct size from 46.1 +/- 4.1% in control hearts to 27.3 +/- 4.0% (n >= 6/group, P < 0.05), an effect that was blocked by the PI3K inhibitor, wortmannin, and the MEK1/2 inhibitor, U0126 (48.8 +/- 5.5% and 45.9 +/- 8.4%, respectively, versus 27.3 +/- 4.0% with visfatin; n >= 6/group, P < 0.05). In murine ventricular cardiomyocytes subjected to 30 min. of hypoxia followed by 30 min. of reoxygenation, visfatin (100 ng/ml), administered at the time of reoxygenation, reduced the cell death from 65.2 +/- 4.6% in control to 49.2 +/- 3.7% (n > 200 cells/group, P < 0.05), an effect that was abrogated by wortmannin and U0126 (68.1 +/- 5.2% and 59.7 +/- 6.2%, respectively; n > 200 cells/group, P > 0.05). Finally, the treatment of murine ventricular cardiomyocytes with visfatin (100 ng/ml) delayed the opening of the mPTP induced by oxidative stress from 81.2 +/- 4 sec. in control to 120 +/- 7 sec. (n > 20 cells/group, P < 0.05) in a PI3K- and MEK1/2-dependent manner. We report that the adipocytokine, visfatin, is capable of reducing myocardial injury when administered at the time of myocardial reperfusion in both the in situ murine heart and the isolated murine cardiomyocytes. The mechanism appears to involve the PI3K and MEK1/2 pathways and the mPTP.",NA,NA,NA,"Davidson, Sean/F-5275-2010; Lim, Shiang/E-9640-2011;","Davidson, Sean/0000-0001-5182-4980; Hausenloy, Derek/0000-0003-0729-4956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1582-1838",NA,NA,NA,NA,"AUG",2008,"12","4",NA,NA,NA,NA,"1395","1403",NA,"10.1111/j.1582-4934.2008.00332.x",NA,NA,NA,NA,NA,"WOS:000258358300034",18400051,1,"1 no 118"
"J","Sommer, G; Garten, A; Petzold, S; Beck-Sickinger, AG; Bluher, M; Stumvoll, M; Fasshauer, M",NA,NA,NA,"Sommer, Grit; Garten, Antje; Petzold, Stefanie; Beck-Sickinger, Annette G.; Blueher, Matthias; Stumvoll, Michael; Fasshauer, Mathias",NA,NA,"Visfatin/PBEF/Nampto: structure, regulation and potential function of a novel adipokine","CLINICAL SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Over the last few years, it has become obvious that obesity and insulin resistance are linked by a variety of proteins secreted by adipocytes. Visfatin/PBEF (pre-B-cell colony-enhancing factor) has recently been identified as a novel adipokine with insulin-mimetic effects. Furthermore, an enzymatic function has been reported that reveals visfatin/PBEF as Nampt (nicotinamide phosphoribosyltransferase; EC 2.4.2.12.). Moreover, reports on the structure and hormonal regulation of visfatin/PBEF/Nampt have given further insights into its potential physiological role. The present review summarizes studies on visfatin/PBEF/Nampt as a novel adipokine.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0143-5221",NA,NA,NA,NA,"JUL",2008,"115","02-Jan",NA,NA,NA,NA,"13","23",NA,"10.1042/CS20070226",NA,NA,NA,NA,NA,"WOS:000257483100002",19016657,1,"1 no 119"
